geotype	subtype	scalerank	code	name	country_name	country_code	province_name	province_code	continent	region_un	subregion	region_wb	latitude	longitude	x_min	y_min	x_max	y_max	tsvector	area
OpenPlaces::Province	Region	4	HR	Hrodzyenskaya Voblasts'	Belarus	BY			Europe	Europe	Eastern Europe	Europe & Central Asia	53.4855	25.0839	23.4856254480001	52.7384866398466	26.6825370623355	54.9932603012609	'belarus':3C 'hrodzyenskaya':1A 'voblast':2A	3.42613382453051
OpenPlaces::Province	Admin-1 scale rank	10		Paget Parish	Bermuda	BM			North America	Americas	Northern America	North America	32.2784	-64.7811	-64.8111905519952	32.265282963029	-64.7608191507038	32.2963688949086	'bermuda':3C 'paget':1A 'parish':2A	0.000559811538512502
OpenPlaces::Province	Department	4	CQ	Departamento de Chuquisaca	Bolivia	BO			South America	Americas	South America	Latin America & Caribbean	-20.0848	-63.9529	-65.6944083319789	-21.5353776989216	-62.2105731021833	-18.3452365052605	'bolivia':4C 'chuquisaca':3A 'de':2A 'departamento':1A	4.45979602675363
OpenPlaces::Province	Department	4	PO	Departamento de Potosi	Bolivia	BO			South America	Americas	South America	Latin America & Caribbean	-20.9033	-66.7701	-68.7925921219999	-22.8972575879999	-64.7469209461447	-17.8545687801251	'bolivia':4C 'de':2A 'departamento':1A 'potosi':3A	10.207256278214
OpenPlaces::Province	State	2	GO	Estado de Goias	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	-15.863	-49.5786	-53.2447806456103	-19.48594207077	-45.9124633453071	-12.3998629697002	'brazil':4C 'de':2A 'estado':1A 'goia':3A	28.8266876067611
OpenPlaces::Province	State	2	SP	Estado de Sao Paulo	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	-22.2267	-48.5206	-53.1679636303172	-25.3073102415657	-44.1620017160064	-19.7807561170011	'brazil':5C 'de':2A 'estado':1A 'paulo':4A 'sao':3A	21.7902973694537
OpenPlaces::Province	State	2	AM	Estado do Amazonas	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	-4.21774	-63.7853	-73.812337402	-9.83795216206262	-56.3119319322129	2.23588884399754	'amazona':3A 'brazil':4C 'estado':1A	127.656764021984
OpenPlaces::Province	State	2	BA	Estado da Bahia	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	-12.3651	-41.8027	-46.5718546205942	-18.3232202958886	-37.3608292309999	-8.52862639649099	'bahia':3A 'brazil':4C 'da':2A 'estado':1A	46.5974736598355
OpenPlaces::Province	State	2	ES	Estado do Espirito Santo	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	-19.6916	-40.5436	-41.8818566550605	-21.2740289656398	-28.8770645819999	-17.8742575009828	'brazil':5C 'espirito':3A 'estado':1A 'santo':4A	3.94610092627795
OpenPlaces::Province	State	2	RR	Estado de Roraima	Brazil	BR			South America	Americas	South America	Latin America & Caribbean	1.93803	-61.3325	-64.8155480549999	-1.41831104921559	-58.8705096104302	5.26722483300004	'brazil':4C 'de':2A 'estado':1A 'roraima':3A	18.2762422976872
OpenPlaces::Province	Independent Municipality	7	MM	Pateros	Philippines	PH			Asia	Asia	South-Eastern Asia	East Asia & Pacific	14.543	121.083	121.076569338604	14.534827283952	121.091677394096	14.54950368105	'patero':1A 'philippin':2C	0.000142728213376282
OpenPlaces::Province	Highly Urbanized City	7	QZ	Lucena	Philippines	PH			Asia	Asia	South-Eastern Asia	East Asia & Pacific	13.9241	121.576	121.498412961089	13.8781598978806	121.636892122937	13.9963864817507	'lucena':1A 'philippin':2C	0.00914166474157359
OpenPlaces::Province	Province	2	AB	Alberta	Canada	CA			North America	Americas	Northern America	North America	55.2816	-115	-120.00101599759	48.9925145470001	-109.999321087899	60.0000589062935	'alberta':1A 'canada':2C	93.6844980850748
OpenPlaces::Province	Province	2	NB	New Brunswick	Canada	CA			North America	Americas	Northern America	North America	46.5822	-66.4558	-69.0635597759314	44.6027571120002	-63.7711075509999	48.075140692	'brunswick':2A 'canada':3C 'new':1A	8.54077183937094
OpenPlaces::Province	Province	2	NS	Nova Scotia	Canada	CA			North America	Americas	Northern America	North America	45.2293	-62.8113	-66.327748176	43.4220645200001	-59.6886287099999	47.0348167990001	'canada':3C 'nova':1A 'scotia':2A	6.30640061280718
OpenPlaces::Province	Admin-1 scale rank	10		Concelho da Ribeira Grande	Cape Verde	CV			Africa	Africa	Western Africa	Sub-Saharan Africa	17.1418	-25.1204	-25.2453507151316	17.0857761283656	-25.0258682929936	17.1966006530001	'cape':5C 'concelho':1A 'da':2A 'grand':4A 'ribeira':3A 'verd':6C	0.0136837990487631
OpenPlaces::Province	Admin-1 scale rank	10		Concelho do Paul	Cape Verde	CV			Africa	Africa	Western Africa	Sub-Saharan Africa	17.1179	-25.0151	-25.0729761316432	17.0788645900636	-24.9712621739999	17.1449242209881	'cape':4C 'concelho':1A 'paul':3A 'verd':5C	0.00317498545894916
OpenPlaces::Province	Region	3	AI	Region Aisen del General Carlos Ibanez del Campo	Chile	CL			South America	Americas	South America	Latin America & Caribbean	-46.8716	-73.3899	-75.7114151679999	-49.2508700199177	-71.122398234	-43.530177432	'aisen':2A 'campo':8A 'carlo':5A 'chile':9C 'del':3A,7A 'general':4A 'ibanez':6A 'region':1A	12.1594723359946
OpenPlaces::Province	Region	3	AT	Region de Atacama	Chile	CL			South America	Americas	South America	Latin America & Caribbean	-27.4469	-69.9123	-71.5219620429999	-29.7478996718324	-68.3021052649999	-25.2911919630693	'atacama':3A 'chile':4C 'de':2A 'region':1A	7.23696182885833
OpenPlaces::Province	Canton	9	BE	Kanton Bern	Switzerland	CH			Europe	Europe	Western Europe	Europe & Central Asia	46.7988	7.65026	6.8497941423858	46.3314358589777	8.45073001507814	47.3440355504004	'bern':2A 'kanton':1A 'switzerland':3C	0.698139899067145
OpenPlaces::Province	Province	5	CE	Centre Region	Cameroon	CM			Africa	Africa	Middle Africa	Sub-Saharan Africa	4.73268	11.7383	10.2386312188556	3.13438263604979	13.2379313487528	6.25858470272185	'cameroon':3C 'centr':1A 'region':2A	5.59929202693211
OpenPlaces::Province	Province	5	ES	East Region	Cameroon	CM			Africa	Africa	Middle Africa	Sub-Saharan Africa	3.78379	14.1674	12.5030408059885	1.65455129000014	16.2077234290001	6.11523428033776	'cameroon':3C 'east':1A 'region':2A	8.86017232260124
OpenPlaces::Province	Region	3	LL	Region de Los Lagos	Chile	CL			South America	Americas	South America	Latin America & Caribbean	-41.0592	-72.9043	-74.4072159499999	-44.0449981167349	-71.65926469	-40.273005676365	'chile':5C 'de':2A 'lago':4A 'los':3A 'region':1A	5.15550805932443
OpenPlaces::Province	Autonomous Region	2	XJ	Xinjiang Uygur Zizhiqu	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	41.122	85.4253	73.6022563070001	34.3399609052857	96.3663399009828	49.1658373010001	'china':4C 'uygur':2A 'xinjiang':1A 'zizhiqu':3A	175.026702374733
OpenPlaces::Province	Province	2	SC	Sichuan Sheng	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	30.5431	102.384	97.360961948635	26.0348452824838	108.523484734933	34.2997154813843	'china':3C 'sheng':2A 'sichuan':1A	45.6287573156264
OpenPlaces::Province	Province	2	YN	Yunnan Sheng	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	24.4603	101.661	97.5132515870001	21.1344733690001	106.199957310182	29.2237720811166	'china':3C 'sheng':2A 'yunnan':1A	34.4725006742776
OpenPlaces::Province	Province	2	SD	Shandong Sheng	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	36.3271	118.114	114.834210646804	34.3972289087871	122.688731316	38.3954531920001	'china':3C 'shandong':1A 'sheng':2A	15.6568243655481
OpenPlaces::Province	Region	8	VB	Vallee du Bandama	Ivory Coast	CI			Africa	Africa	Western Africa	Sub-Saharan Africa	8.22668	-4.85838	-5.79573889793178	7.22759532296583	-3.92102128700279	9.38666250207278	'bandama':3A 'coast':5C 'du':2A 'ivori':4C 'valle':1A	2.32360817143707
OpenPlaces::Province	Province	2	FJ	Fujian Sheng	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	26.408	118.178	115.841280959149	23.5726543050002	120.429209832	28.3259715854203	'china':3C 'fujian':1A 'sheng':2A	10.9025222276728
OpenPlaces::Province	Province	2	AH	Anhui Sheng	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	31.9537	117.253	114.875913526688	29.4078693707749	119.629783562561	34.6428469921949	'anhui':1A 'china':3C 'sheng':2A	13.3573933161638
OpenPlaces::Province	Autonomous Region	2	NX	Ningxia Huizu Zizhiqu	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	37.1762	106.038	104.358519322009	35.255316066883	107.661676873789	39.3729975449007	'china':4C 'huizu':2A 'ningxia':1A 'zizhiqu':3A	5.29680120951946
OpenPlaces::Province	Province	2	SA	Shaanxi	China	CN			Asia	Asia	Eastern Asia	East Asia & Pacific	33.7713	108.363	105.498553094849	31.7052485214021	111.226730585148	39.5807884793048	'china':2C 'shaanxi':1A	20.3705872818982
OpenPlaces::Province	Parish	10	LU	Saint Luke	Dominica	DM			North America	Americas	Caribbean	Latin America & Caribbean	15.2483	-61.3644	-61.3731788284601	15.235883731455	-61.3556550769202	15.2603473523463	'dominica':3C 'luke':2A 'saint':1A	0.000290239157762991
OpenPlaces::Province	Province	5		Province du NordKivu	Dem. Rep. Congo	CD			Africa	Africa	Middle Africa	Sub-Saharan Africa	-0.659128	28.5939	27.2059159694465	-2.06188933722311	29.9821940399616	0.9606135119041	'congo':6C 'dem':4C 'du':2A 'nordkivu':3A 'provinc':1A 'rep':5C	4.84738129213323
OpenPlaces::Province	Admin-1 scale rank	10		Aitutaki	Cook Is.	CK			Oceania	Oceania	Polynesia	East Asia & Pacific	-19.2709	-158.892	-158.955555793	-19.2692196589999	-158.898508267	-19.2373186179999	'aitutaki':1A 'cook':2C	0.000524378489988026
OpenPlaces::Province	Admin-1 scale rank	10		Mauke	Cook Is.	CK			Oceania	Oceania	Polynesia	East Asia & Pacific	-20.1852	-157.312	-157.349354621	-20.1791317689999	-157.312814908	-20.1373837219999	'cook':2C 'mauk':1A	0.00109217894712321
OpenPlaces::Province	Department	5	AN	Departamento de Antioquia	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	6.70366	-75.5071	-77.1263720358408	5.43364797617319	-73.8878100248128	8.86986594697615	'antioquia':3A 'colombia':4C 'de':2A 'departamento':1A	5.18391341271104
OpenPlaces::Province	Province	5	EQ	Province de l' Equateur	Dem. Rep. Congo	CD			Africa	Africa	Middle Africa	Sub-Saharan Africa	1.21836	20.4731	16.5249705349812	-2.52289478896337	24.4215381198883	5.15519032800009	'congo':7C 'de':2A 'dem':5C 'equateur':4A 'l':3A 'provinc':1A 'rep':6C	32.8778398953375
OpenPlaces::Province	Province	5	HC	Province Orientale	Dem. Rep. Congo	CD			Africa	Africa	Middle Africa	Sub-Saharan Africa	2.40438	26.785	22.2899369654186	-2.11087859447154	31.2804468180001	5.3752802530001	'congo':5C 'dem':3C 'oriental':2A 'provinc':1A 'rep':4C	40.7018386945041
OpenPlaces::Province	Province	5		Province du Maniema	Dem. Rep. Congo	CD			Africa	Africa	Middle Africa	Sub-Saharan Africa	-3.26017	26.0336	24.4506836284466	-4.99995289511004	28.824525181392	-0.0901233859854926	'congo':6C 'dem':4C 'du':2A 'maniema':3A 'provinc':1A 'rep':5C	10.3643741498453
OpenPlaces::Province	Province	5	KR	Province du KasaiOriental	Dem. Rep. Congo	CD			Africa	Africa	Middle Africa	Sub-Saharan Africa	-4.40511	24.0842	21.8990564308096	-7.93811980578445	26.2694356631253	-1.74619801172886	'congo':6C 'dem':4C 'du':2A 'kasaiorient':3A 'provinc':1A 'rep':5C	13.7653459946734
OpenPlaces::Province	Region	5	SA	Sangha	Congo	CG			Africa	Africa	Middle Africa	Sub-Saharan Africa	1.12682	15.7466	13.1296167400001	0.0420649281538772	17.0495333186078	2.72649268919309	'congo':2C 'sangha':1A	4.67827677464664
OpenPlaces::Province	Region	5	PO	Pool	Congo	CG			Africa	Africa	Middle Africa	Sub-Saharan Africa	-3.71115	15.0436	13.8602706231907	-4.90362721799995	16.2274638270001	-2.71745655667468	'congo':2C 'pool':1A	2.35464453289938
OpenPlaces::Province	Department	5	CA	Departamento del Cauca	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	2.61609	-77.277	-78.2202902199999	0.972137356253953	-75.7810277981943	3.31793732334877	'cauca':3A 'colombia':4C 'del':2A 'departamento':1A	2.49683494709537
OpenPlaces::Province	Department	5	BL	Departamento de Bolivar	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	8.57823	-74.1807	-75.7035766459999	6.99605906787171	-73.7546915346866	10.8108667215093	'bolivar':3A 'colombia':4C 'de':2A 'departamento':1A	2.17487471599275
OpenPlaces::Province	Department	5	VC	Departamento del Valle del Cauca	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	3.58331	-76.5923	-77.4776584039999	3.0928606233191	-75.7080865137816	5.03571360909581	'cauca':5A 'colombia':6C 'del':2A,4A 'departamento':1A 'vall':3A	1.6998560615162
OpenPlaces::Province	Department	5	CH	Departamento del Choco	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	5.38283	-76.7263	-77.8958391507983	3.99464020448188	-76.0424847073034	8.67841217700014	'choco':3A 'colombia':4C 'del':2A 'departamento':1A	3.82536583175048
OpenPlaces::Province	Region	5	RV	Rivnens'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	51.048	26.3841	25.0634627623966	50.0131232769177	27.7051611740001	51.9285110470001	'ka':2A 'oblast':3A 'rivnen':1A 'ukrain':4C	2.60080933858726
OpenPlaces::Province	Region	5	KV	Kyyivs'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	50.0894	31.0214	29.2704927913093	49.170642402325	32.1391549006781	51.493137106	'ka':2A 'kyyiv':1A 'oblast':3A 'ukrain':4C	3.40854808779392
OpenPlaces::Province	Commissiary	5	GV	Departamento del Guaviare	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	1.85144	-71.8348	-73.6750581530113	0.664042467385954	-69.9944559388904	2.9054302033412	'colombia':4C 'del':2A 'departamento':1A 'guaviar':3A	4.47404180893773
OpenPlaces::Province	Commissiary	5	GN	Departamento del Guainia	Colombia	CO			South America	Americas	South America	Latin America & Caribbean	2.70535	-68.8925	-70.9093871732794	1.17269439700003	-66.8750605879999	4.03987824719164	'colombia':4C 'del':2A 'departamento':1A 'guainia':3A	5.79983472280557
OpenPlaces::Province	Municipality	9	BA	Opstina Bar	Montenegro	ME			Europe	Europe	Southern Europe	Europe & Central Asia	42.1416	19.1463	18.922545607194	42.0114669872117	19.3699978771502	42.3219389919908	'bar':2A 'montenegro':3C 'opstina':1A	0.0626135379161915
OpenPlaces::Province	Region	5	ZT	Zhytomyrs'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	50.6898	28.4643	27.1922733898051	49.5820126407708	29.7363041517153	51.6519646210001	'ka':2A 'oblast':3A 'ukrain':4C 'zhytomyr':1A	3.78102913841378
OpenPlaces::Province	Province	6	MA	Provincia de Matanzas	Cuba	CU			North America	Americas	Caribbean	Latin America & Caribbean	22.6152	-81.186	-82.1639705069999	22.044012762	-80.4707738919998	23.2655703800001	'cuba':4C 'de':2A 'matanza':3A 'provincia':1A	1.03311192332944
OpenPlaces::Province	Region	5	SM	Sums'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	50.8153	34.3159	32.9395194842368	50.1072260614335	35.6922101341452	52.3609911090001	'ka':2A 'oblast':3A 'sum':1A 'ukrain':4C	3.00559954518352
OpenPlaces::Province	Province	6	CM	Provincia de Camaguey	Cuba	CU			North America	Americas	Caribbean	Latin America & Caribbean	21.3675	-77.9304	-78.6561580069999	20.518011786	-76.9448094044381	22.4372012390001	'camaguey':3A 'cuba':4C 'de':2A 'provincia':1A	1.35388384315751
OpenPlaces::Province	Region	5	DT	Donets'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	48.145	37.7933	36.5311348808701	46.8755557310001	39.0555285987659	49.231749783126	'donet':1A 'ka':2A 'oblast':3A 'ukrain':4C	3.20854637227484
OpenPlaces::Province	Province	6	HO	Provincia de Holguin	Cuba	CU			North America	Americas	Caribbean	Latin America & Caribbean	20.808	-76.1892	-76.7219006011318	20.396791490335	-74.7151675851902	21.2518985048562	'cuba':4C 'de':2A 'holguin':3A 'provincia':1A	0.799801016962492
OpenPlaces::Province	Region	5	PL	Poltavs'ka Oblast'	Ukraine	UA			Europe	Europe	Eastern Europe	Europe & Central Asia	49.6978	33.7723	32.0694950697417	48.746275540284	35.4750753112766	50.5466049259765	'ka':2A 'oblast':3A 'poltav':1A 'ukrain':4C	3.53932395503682
OpenPlaces::Province	Province	4	MN	Manica Province	Mozambique	MZ			Africa	Africa	Eastern Africa	Sub-Saharan Africa	-20.811	33.4678	32.3398136800001	-21.5963558903121	34.5961625507611	-16.4023576801628	'manica':1A 'mozambiqu':3C 'provinc':2A	5.47222169626796
OpenPlaces::Province	State	3	SH	Land SchleswigHolstein	Germany	DE			Europe	Europe	Western Europe	Europe & Central Asia	54.1315	9.84605	7.87989342500012	53.3638748237641	11.3142195970001	55.065334377	'germani':3C 'land':1A 'schleswigholstein':2A	2.12493082736615
OpenPlaces::Province	Admin-1 scale rank	11		Wake Island	U.S. Minor Outlying Is.	UM			North America	Seven seas (open ocean)	Seven seas (open ocean)	East Asia & Pacific	19.2863	166.643	166.619395379	19.275580145	166.652354363	19.3057315120001	'island':2A 'minor':4C 'out':5C 'u.s':3C 'wake':1A	0.000336574179711725
OpenPlaces::Province	Unitary Authority	8	NG	City of Nottingham	United Kingdom	GB			Europe	Europe	Northern Europe	Europe & Central Asia	52.9352	-1.16592	-1.22880835562114	52.8722769235412	-1.1030279197027	52.99500844998	'citi':1A 'kingdom':5C 'nottingham':3A 'unit':4C	0.0109524297475847
OpenPlaces::Province	Province	7	NA	Provincia de Francisco de Orellana	Ecuador	EC			South America	Americas	South America	Latin America & Caribbean	-0.875888	-76.4248	-77.6217164784327	-1.54663979599485	-75.2272639579999	-0.0473352995843612	'de':2A,4A 'ecuador':6C 'francisco':3A 'orellana':5A 'provincia':1A	1.72674623838139
OpenPlaces::Province	Governorate	6	BA	Muhafazat al Bahr al Ahmar	Egypt	EG			Africa	Africa	Northern Africa	Middle East & North Africa	25.2164	33.7267	30.8154114109079	21.9953865291825	36.8991805350002	29.2987545837569	'ahmar':5A 'al':2A,4A 'bahr':3A 'egypt':6C 'muhafazat':1A	17.1521653117597
OpenPlaces::Province	Region	6	DU	Northern Red Sea Region	Eritrea	ER			Africa	Africa	Eastern Africa	Sub-Saharan Africa	15.6179	40.1691	37.9859298032179	14.3352409040723	40.595434605023	18.004828192	'eritrea':5C 'northern':1A 'red':2A 'region':4A 'sea':3A	2.78411961170738
OpenPlaces::Province	Metropolitan Borough	8	MN	City and Borough of Salford	United Kingdom	GB			Europe	Europe	Northern Europe	Europe & Central Asia	53.5006	-2.40861	-2.5113772263779	53.4188068712401	-2.29878788455318	53.5537578415512	'borough':3A 'citi':1A 'kingdom':7C 'salford':5A 'unit':6C	0.0174283229835967
OpenPlaces::Province	Metropolitan Borough	8	MN	Borough of Bury	United Kingdom	GB			Europe	Europe	Northern Europe	Europe & Central Asia	53.5827	-2.30878	-2.37643856418833	53.504136064128	-2.25132357532274	53.6669054233466	'borough':1A 'buri':3A 'kingdom':5C 'unit':4C	0.0133197213827953
OpenPlaces::Province	Autonomous Community	3	CL	Provincia de Burgos	Spain	ES			Europe	Europe	Southern Europe	Europe & Central Asia	42.348	-3.60703	-4.33075990074883	41.4576502781378	-2.51294185967905	43.2011876492906	'burgo':3A 'de':2A 'provincia':1A 'spain':4C	1.5842645877973
OpenPlaces::Province	Autonomous City	3	CE	Melilla	Spain	ES			Europe	Europe	Southern Europe	Europe & Central Asia	35.2934	-2.94015	-2.96692012599988	35.2678742480001	-2.91290659779662	35.3297681250436	'melilla':1A 'spain':2C	0.00179313117759238
OpenPlaces::Province	Administrative State	3	SO	Somali Region	Ethiopia	ET			Africa	Africa	Eastern Africa	Sub-Saharan Africa	7.09365	43.5345	39.0904414451084	3.40333343500009	47.9791691490001	11.0896601360001	'ethiopia':3C 'region':2A 'somali':1A	25.4224029393885
OpenPlaces::Province	Province	5		Lappland	Finland	FI			Europe	Europe	Northern Europe	Europe & Central Asia	67.5811	26.5614	20.62316451	65.552028713	30.0094132900001	70.0753103640001	'finland':2C 'lappland':1A	20.8259234067982
OpenPlaces::Province	Administrative State	3	AM	Amhara Region	Ethiopia	ET			Africa	Africa	Eastern Africa	Sub-Saharan Africa	11.6981	37.7222	35.2483787749304	8.75610667608218	40.1966475772239	13.7761762901519	'amhara':1A 'ethiopia':3C 'region':2A	12.946396243893
OpenPlaces::Province	Administrative State	3	SN	Southern Nations Nationalities and People's Region	Ethiopia	ET			Africa	Africa	Eastern Africa	Sub-Saharan Africa	6.21467	36.4494	34.1957727459078	4.43117963596578	39.1350069517095	8.4572877059629	'ethiopia':8C 'nation':2A,3A 'peopl':5A 'region':7A 'southern':1A	9.33273081278191
OpenPlaces::Province	Province	5		Norra OEsterbotten	Finland	FI			Europe	Europe	Northern Europe	Europe & Central Asia	65.1599	26.2356	23.7064722009158	63.4302888051842	30.116280151	66.4843659529264	'finland':3C 'norra':1A 'oesterbotten':2A	6.99980924825278
OpenPlaces::Province	Province	5		Osterbotten	Finland	FI			Europe	Europe	Northern Europe	Europe & Central Asia	63.0354	22.1482	20.6596785820001	61.9391995370345	23.733983188873	63.9248721370001	'finland':2C 'osterbotten':1A	1.31760502945691
OpenPlaces::Province	Region	5		VarsinaisSuomi	Finland	FI			Europe	Europe	Northern Europe	Europe & Central Asia	60.6134	22.7128	21.0039982430001	59.7740339210001	23.9139205259115	61.0911034209861	'finland':2C 'varsinaissuomi':1A	1.62482031745994
